district,state,city,locality,property_type,category,price_per_sqft_inr,rent_per_sqft_inr,yield_pct,price_change_qoq_pct,source,fetched_at,data_source,area_sqft,bhk,bath,price_lakhs,locality_key
Surat,Gujarat,Surat,Adajan,House,residential,7938.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1200,2,2,95.26,adajan
Surat,Gujarat,Surat,Adajan,House,residential,7938.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1800,3,3,142.88,adajan
Surat,Gujarat,Surat,Adajan,House,residential,7938.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2400,4,4,190.51,adajan
Surat,Gujarat,Surat,Adajan,House,residential,7938.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,3200,5,5,254.02,adajan
Surat,Gujarat,Surat,Adajan,Plot,residential,3300.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1000,0,0,33.0,adajan
Surat,Gujarat,Surat,Adajan,Plot,residential,3300.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1500,0,0,49.5,adajan
Surat,Gujarat,Surat,Adajan,Plot,residential,3300.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2400,0,0,79.2,adajan
Surat,Gujarat,Surat,Adajan,Plot,residential,3300.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,4000,0,0,132.0,adajan
Surat,Gujarat,Surat,Adajan,Shop,commercial,3900.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,200,0,0,7.8,adajan
Surat,Gujarat,Surat,Adajan,Shop,commercial,3900.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,400,0,0,15.6,adajan
Surat,Gujarat,Surat,Adajan,Shop,commercial,3900.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,800,0,0,31.2,adajan
Surat,Gujarat,Surat,Adajan,Shop,commercial,3900.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1200,0,0,46.8,adajan
Surat,Gujarat,Surat,Adajan,Showroom,commercial,4368.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,600,0,0,26.21,adajan
Surat,Gujarat,Surat,Adajan,Showroom,commercial,4368.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1200,0,0,52.42,adajan
Surat,Gujarat,Surat,Adajan,Showroom,commercial,4368.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2500,0,0,109.2,adajan
Surat,Gujarat,Surat,Adajan,Showroom,commercial,4368.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,4000,0,0,174.72,adajan
Surat,Gujarat,Surat,Adajan,Office,commercial,8100.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,500,0,0,40.5,adajan
Surat,Gujarat,Surat,Adajan,Office,commercial,8100.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1000,0,0,81.0,adajan
Surat,Gujarat,Surat,Adajan,Office,commercial,8100.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2000,0,0,162.0,adajan
Surat,Gujarat,Surat,Adajan,Office,commercial,8100.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,5000,0,0,405.0,adajan
Surat,Gujarat,Surat,Adajan,Commercial,commercial,4095.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,500,0,0,20.48,adajan
Surat,Gujarat,Surat,Adajan,Commercial,commercial,4095.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1000,0,0,40.95,adajan
Surat,Gujarat,Surat,Adajan,Commercial,commercial,4095.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2000,0,0,81.9,adajan
Surat,Gujarat,Surat,Adajan,Commercial,commercial,4095.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,3500,0,0,143.32,adajan
Surat,Gujarat,Surat,Adajan,Warehouse,commercial,2808.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1500,0,0,42.12,adajan
Surat,Gujarat,Surat,Adajan,Warehouse,commercial,2808.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,3000,0,0,84.24,adajan
Surat,Gujarat,Surat,Adajan,Warehouse,commercial,2808.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,5000,0,0,140.4,adajan
Surat,Gujarat,Surat,Adajan,Warehouse,commercial,2808.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,10000,0,0,280.8,adajan
Surat,Gujarat,Surat,Adajan,Retail,commercial,3900.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,300,0,0,11.7,adajan
Surat,Gujarat,Surat,Adajan,Retail,commercial,3900.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,600,0,0,23.4,adajan
Surat,Gujarat,Surat,Adajan,Retail,commercial,3900.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1000,0,0,39.0,adajan
Surat,Gujarat,Surat,Adajan,Retail,commercial,3900.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1800,0,0,70.2,adajan
Surat,Gujarat,Surat,Althan,Apartment,residential,4300.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,550,1,1,23.65,althan
Surat,Gujarat,Surat,Althan,Apartment,residential,4300.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1050,2,2,45.15,althan
Surat,Gujarat,Surat,Althan,Apartment,residential,4300.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1450,3,3,62.35,althan
Surat,Gujarat,Surat,Althan,Apartment,residential,4300.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2000,4,4,86.0,althan
Surat,Gujarat,Surat,Althan,Flat,residential,4300.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,550,1,1,23.65,althan
Surat,Gujarat,Surat,Althan,Flat,residential,4300.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1050,2,2,45.15,althan
Surat,Gujarat,Surat,Althan,Flat,residential,4300.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1450,3,3,62.35,althan
Surat,Gujarat,Surat,Althan,Flat,residential,4300.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2000,4,4,86.0,althan
Surat,Gujarat,Surat,Althan,Studio,residential,3956.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,400,1,1,15.82,althan
Surat,Gujarat,Surat,Althan,Studio,residential,3956.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,500,1,1,19.78,althan
Surat,Gujarat,Surat,Althan,Penthouse,residential,5805.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1800,3,3,104.49,althan
Surat,Gujarat,Surat,Althan,Penthouse,residential,5805.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2500,4,4,145.12,althan
Surat,Gujarat,Surat,Althan,Penthouse,residential,5805.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,3200,5,5,185.76,althan
Surat,Gujarat,Surat,Althan,Villa,residential,4400.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1500,2,2,66.0,althan
Surat,Gujarat,Surat,Althan,Villa,residential,4400.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2200,3,3,96.8,althan
Surat,Gujarat,Surat,Althan,Villa,residential,4400.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,3000,4,4,132.0,althan
Surat,Gujarat,Surat,Althan,Villa,residential,4400.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,4500,5,5,198.0,althan
Surat,Gujarat,Surat,Althan,Bungalow,residential,4752.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2500,3,3,118.8,althan
Surat,Gujarat,Surat,Althan,Bungalow,residential,4752.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,3500,4,4,166.32,althan
Surat,Gujarat,Surat,Althan,Bungalow,residential,4752.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,5000,5,5,237.6,althan
Surat,Gujarat,Surat,Althan,Bungalow,residential,4752.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,6500,6,6,308.88,althan
Surat,Gujarat,Surat,Althan,House,residential,4312.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1200,2,2,51.74,althan
Surat,Gujarat,Surat,Althan,House,residential,4312.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1800,3,3,77.62,althan
Surat,Gujarat,Surat,Althan,House,residential,4312.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2400,4,4,103.49,althan
Surat,Gujarat,Surat,Althan,House,residential,4312.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,3200,5,5,137.98,althan
Surat,Gujarat,Surat,Althan,Plot,residential,2365.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1000,0,0,23.65,althan
Surat,Gujarat,Surat,Althan,Plot,residential,2365.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1500,0,0,35.48,althan
Surat,Gujarat,Surat,Althan,Plot,residential,2365.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2400,0,0,56.76,althan
Surat,Gujarat,Surat,Althan,Plot,residential,2365.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,4000,0,0,94.6,althan
Surat,Gujarat,Surat,Althan,Shop,commercial,4400.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,200,0,0,8.8,althan
Surat,Gujarat,Surat,Althan,Shop,commercial,4400.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,400,0,0,17.6,althan
Surat,Gujarat,Surat,Althan,Shop,commercial,4400.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,800,0,0,35.2,althan
Surat,Gujarat,Surat,Althan,Shop,commercial,4400.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1200,0,0,52.8,althan
Surat,Gujarat,Surat,Althan,Showroom,commercial,4928.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,600,0,0,29.57,althan
Surat,Gujarat,Surat,Althan,Showroom,commercial,4928.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1200,0,0,59.14,althan
Surat,Gujarat,Surat,Althan,Showroom,commercial,4928.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2500,0,0,123.2,althan
Surat,Gujarat,Surat,Althan,Showroom,commercial,4928.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,4000,0,0,197.12,althan
Surat,Gujarat,Surat,Althan,Office,commercial,4400.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,500,0,0,22.0,althan
Surat,Gujarat,Surat,Althan,Office,commercial,4400.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1000,0,0,44.0,althan
Surat,Gujarat,Surat,Althan,Office,commercial,4400.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2000,0,0,88.0,althan
Surat,Gujarat,Surat,Althan,Office,commercial,4400.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,5000,0,0,220.0,althan
Surat,Gujarat,Surat,Althan,Commercial,commercial,4620.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,500,0,0,23.1,althan
Surat,Gujarat,Surat,Althan,Commercial,commercial,4620.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1000,0,0,46.2,althan
Surat,Gujarat,Surat,Althan,Commercial,commercial,4620.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2000,0,0,92.4,althan
Surat,Gujarat,Surat,Althan,Commercial,commercial,4620.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,3500,0,0,161.7,althan
Surat,Gujarat,Surat,Althan,Warehouse,commercial,3168.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1500,0,0,47.52,althan
Surat,Gujarat,Surat,Althan,Warehouse,commercial,3168.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,3000,0,0,95.04,althan
Surat,Gujarat,Surat,Althan,Warehouse,commercial,3168.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,5000,0,0,158.4,althan
Surat,Gujarat,Surat,Althan,Warehouse,commercial,3168.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,10000,0,0,316.8,althan
Surat,Gujarat,Surat,Althan,Retail,commercial,4400.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,300,0,0,13.2,althan
Surat,Gujarat,Surat,Althan,Retail,commercial,4400.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,600,0,0,26.4,althan
Surat,Gujarat,Surat,Althan,Retail,commercial,4400.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1000,0,0,44.0,althan
Surat,Gujarat,Surat,Althan,Retail,commercial,4400.0,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1800,0,0,79.2,althan
Surat,Gujarat,Surat,Amroli,Apartment,residential,1950.0,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,550,1,1,10.72,amroli
Surat,Gujarat,Surat,Amroli,Apartment,residential,1950.0,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1050,2,2,20.48,amroli
Surat,Gujarat,Surat,Amroli,Apartment,residential,1950.0,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1450,3,3,28.27,amroli
Surat,Gujarat,Surat,Amroli,Apartment,residential,1950.0,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2000,4,4,39.0,amroli
Surat,Gujarat,Surat,Amroli,Flat,residential,1950.0,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,550,1,1,10.72,amroli
Surat,Gujarat,Surat,Amroli,Flat,residential,1950.0,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1050,2,2,20.48,amroli
Surat,Gujarat,Surat,Amroli,Flat,residential,1950.0,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1450,3,3,28.27,amroli
Surat,Gujarat,Surat,Amroli,Flat,residential,1950.0,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2000,4,4,39.0,amroli
Surat,Gujarat,Surat,Amroli,Studio,residential,1794.0,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,400,1,1,7.18,amroli
Surat,Gujarat,Surat,Amroli,Studio,residential,1794.0,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,500,1,1,8.97,amroli
Surat,Gujarat,Surat,Amroli,Penthouse,residential,2632.5,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1800,3,3,47.38,amroli
Surat,Gujarat,Surat,Amroli,Penthouse,residential,2632.5,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2500,4,4,65.81,amroli
Surat,Gujarat,Surat,Amroli,Penthouse,residential,2632.5,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,3200,5,5,84.24,amroli
Surat,Gujarat,Surat,Amroli,Villa,residential,1950.0,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1500,2,2,29.25,amroli
Surat,Gujarat,Surat,Amroli,Villa,residential,1950.0,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2200,3,3,42.9,amroli
Surat,Gujarat,Surat,Amroli,Villa,residential,1950.0,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,3000,4,4,58.5,amroli
Surat,Gujarat,Surat,Amroli,Villa,residential,1950.0,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,4500,5,5,87.75,amroli
Surat,Gujarat,Surat,Amroli,Bungalow,residential,2106.0,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2500,3,3,52.65,amroli
Surat,Gujarat,Surat,Amroli,Bungalow,residential,2106.0,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,3500,4,4,73.71,amroli
Surat,Gujarat,Surat,Amroli,Bungalow,residential,2106.0,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,5000,5,5,105.3,amroli
Surat,Gujarat,Surat,Amroli,Bungalow,residential,2106.0,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,6500,6,6,136.89,amroli
Surat,Gujarat,Surat,Amroli,House,residential,1911.0,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1200,2,2,22.93,amroli
Surat,Gujarat,Surat,Amroli,House,residential,1911.0,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1800,3,3,34.4,amroli
Surat,Gujarat,Surat,Amroli,House,residential,1911.0,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2400,4,4,45.86,amroli
Surat,Gujarat,Surat,Amroli,House,residential,1911.0,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,3200,5,5,61.15,amroli
Surat,Gujarat,Surat,Amroli,Plot,residential,1072.5,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1000,0,0,10.72,amroli
Surat,Gujarat,Surat,Amroli,Plot,residential,1072.5,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1500,0,0,16.09,amroli
Surat,Gujarat,Surat,Amroli,Plot,residential,1072.5,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2400,0,0,25.74,amroli
